n	logs.Storm.topovi-abs-e3-g5shifted	logs.Storm.topoii-abs-e3-g5shifted	logs.Storm.ii-abs-e3-g5shifted	logs.Storm.topopi-abs-e3-g5shifted	logs.Storm.topopi-abs-einfshifted	logs.Storm.topoii-abs-e3-g01shifted	logs.Storm.topoii-abs-e3-g1shifted	logs.Storm.topoii-abs-e3-g25shifted	logs.Storm.topoii-abs-e3-g75shifted	logs.Storm.topoii-abs-e3-g9shifted	logs.Storm.topoii-abs-e3-g99shifted	logs.Storm.topoii-abs-e1-g5shifted	logs.Storm.topoii-abs-e2-g5shifted	logs.Storm.topoii-abs-e4-g5shifted	logs.Storm.topoii-abs-e5-g5shifted	logs.Storm.topoii-abs-e6-g5shifted	logs.mcsta.ii-rel-e3-g5shifted	logs.mcsta.vi-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g01shifted	logs.mcsta.ii-abs-e3-g1shifted	logs.mcsta.ii-abs-e3-g25shifted	logs.mcsta.ii-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g75shifted	logs.mcsta.ii-abs-e3-g9shifted	logs.mcsta.ii-abs-e3-g99shifted	logs.mcsta.ii-abs-e1-g5shifted	logs.mcsta.ii-abs-e2-g5shifted	logs.mcsta.ii-abs-e4-g5shifted	logs.mcsta.ii-abs-e5-g5shifted	logs.mcsta.ii-abs-e6-g5shifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
75	1.0149497985839844	1.0033714771270752	1.7776341438293457	27.13084125518799		1.0280914306640625	1.0942840576171875	1.0867888927459717	1.101966142654419	1.012894630432129	0.9962177276611328	0.789107084274292	0.9139907360076904	1.2370784282684326	1.255591869354248	1.3746211528778076	4.43028712272644	2.6641759872436523	3.2869136333465576	3.3521265983581543	3.8699464797973633	3.8880982398986816	3.076648235321045	3.2524781227111816	3.1920759677886963	2.619779348373413	2.959376811981201	3.4761438369750977	4.29601788520813	4.383516788482666	0.7393398284912109	2.392971992492676		0.5518767833709717
76	1.0775351524353027	1.080432415008545	2.0825178623199463	30.384164333343506		1.1104071140289307	1.1902189254760742	1.2391233444213867	1.105438232421875	1.032728910446167	1.0396556854248047	0.7980070114135742	0.9198832511901855	1.2512335777282715	1.295093297958374	1.4047737121582031	4.533005237579346	2.763279676437378	3.884814977645874	3.914445400238037	3.8888139724731445	4.083882093429565	3.2348549365997314	3.9632365703582764	3.620457172393799	2.9355921745300293	3.2148215770721436	3.648935317993164	4.342566967010498	4.842887878417969	0.7690567970275879	2.4397988319396973		0.6027765274047852
77	1.0932774543762207	1.1160225868225098	2.1459381580352783	30.89501714706421		1.1306920051574707	1.2873573303222656	1.2794301509857178	1.2217512130737305	1.0639793872833252	1.1262197494506836	0.8816490173339844	0.9574863910675049	1.3191258907318115	1.3375532627105713	1.4315826892852783	6.068168640136719	2.7661216259002686	4.330050468444824	4.097050428390503	4.086536407470703	4.135771036148071	4.040202856063843	3.9925873279571533	4.028120994567871	3.2024967670440674	3.3382022380828857	4.290388822555542	4.407633066177368	5.009492635726929	0.7888278961181641	2.6641759872436523		0.6220533847808838
78	1.2690281867980957	1.2175252437591553	2.2297258377075195	37.9247682094574		1.1954524517059326	1.3329625129699707	1.3870022296905518	1.3633110523223877	1.3071699142456055	1.2378532886505127	0.9198818206787109	1.0473747253417969	1.3375685214996338	1.4902901649475098	1.5219790935516357	6.0732011795043945	2.998178720474243	4.744787216186523	4.333329200744629	4.1757590770721436	4.163797378540039	4.727050065994263	4.291516304016113	4.199170112609863	3.349669933319092	3.7764744758605957	4.308557748794556	4.948267936706543	5.177649974822998	0.813410758972168	2.763279676437378		0.6270911693572998
79	1.3958172798156738	1.633434534072876	2.244227886199951	43.807700872421265		1.784285306930542	1.6168410778045654	1.6449897289276123	1.512746810913086	1.5362040996551514	1.3071050643920898	1.051159381866455	1.2245326042175293	1.487933874130249	2.2045207023620605	1.8428726196289062	6.819818019866943	3.5912089347839355	4.78614616394043	4.3470118045806885	4.6934287548065186	4.66971230506897	4.734027624130249	4.484438896179199	4.240244626998901	4.152337074279785	4.229308366775513	4.493265151977539	4.985265493392944	6.683104515075684	0.8816490173339844	2.998178720474243		0.6360938549041748
80	1.5884649753570557	1.6424753665924072	2.2994441986083984	45.329829454422		1.8124828338623047	1.6813507080078125	1.6938772201538086	1.5818078517913818	1.6394212245941162	1.516329050064087	1.2163898944854736	1.2881231307983398	1.891366720199585	2.223278284072876	2.516267776489258	9.681987047195435	3.62913179397583	5.521404504776001	4.970965147018433	4.97094988822937	5.069886684417725	4.959872245788574	5.235323190689087	4.905892848968506	4.279541969299316	4.329317092895508	5.079033374786377	7.03310489654541	6.708127975463867	0.9741783142089844	3.5912089347839355		0.654691219329834
81	1.7445013523101807	1.7872164249420166	2.3953754901885986	65.60319972038269		1.9395456314086914	1.8407740592956543	1.8192293643951416	1.6267991065979004	1.7053565979003906	1.6307482719421387	1.2259819507598877	1.5071303844451904	2.0301566123962402	2.492710828781128	2.5510165691375732	9.732496500015259	5.02056622505188	6.748080492019653	5.401616096496582	5.558151721954346	5.4031736850738525	5.568766117095947	5.4876708984375	5.027453184127808	5.1937830448150635	5.383969306945801	6.8221495151519775	7.1110475063323975	6.93686842918396	1.0004494190216064	3.62913179397583		0.6619009971618652
82	1.9329710006713867	1.9666333198547363	2.4726972579956055	70.02107405662537		2.2102420330047607	1.8515684604644775	1.835517406463623	1.8365368843078613	1.8269648551940918	1.92392897605896	1.2524523735046387	1.5525145530700684	2.1227059364318848	2.5522665977478027	2.622027635574341	10.00123929977417	5.612592458724976	7.441344738006592	7.068126916885376	6.770509481430054	6.834479808807373	6.831861972808838	6.616081953048706	6.610259532928467	5.634805679321289	6.220401763916016	7.079981803894043	7.71545934677124	9.964938879013062	1.0775351524353027	5.612592458724976		0.6632025241851807
83	1.9659812450408936	2.2746148109436035	2.5945188999176025	78.23720669746399		2.3500075340270996	2.1427884101867676	2.1445531845092773	2.0699539184570312	1.8613336086273193	1.965712070465088	1.2983267307281494	1.6897602081298828	2.384061098098755	2.585648536682129	2.6515607833862305	10.900524616241455	6.549379348754883	8.635634183883667	7.114095687866211	8.094563484191895	7.049154996871948	7.0664963722229	6.952613115310669	6.616170167922974	6.142043590545654	6.383505821228027	10.115919589996338	10.049623966217041	12.37350344657898	1.2524523735046387	5.634805679321289		0.6760523319244385
84	2.0237207412719727	2.369335889816284	2.7132413387298584	83.08414959907532		2.401974678039551	2.4699745178222656	2.4129416942596436	2.447268009185791	2.011824607849121	2.1144912242889404	1.3194124698638916	1.7344450950622559	2.4118995666503906	2.6126835346221924	2.7126667499542236	11.08671236038208	6.688692092895508	10.767489910125732	11.359625339508057	11.238314628601074	10.069692134857178	9.922735452651978	10.093008995056152	10.00155758857727	6.24954628944397	9.363033294677734	12.566689252853394	12.092175722122192	14.87607717514038	1.2690281867980957	6.24954628944397		0.6837770938873291
85	2.025113105773926	2.3818318843841553	2.7502248287200928	85.40312790870667		2.461439847946167	2.470428943634033	2.5195040702819824	2.4990577697753906	2.322047233581543	2.340423345565796	1.331078052520752	1.7711548805236816	2.5206077098846436	2.650719404220581	2.9373581409454346	13.012704610824585	8.213468074798584	11.957807064056396	11.589901208877563	12.7758469581604	12.403460025787354	11.215421915054321	11.779442071914673	11.530365705490112	6.724053859710693	9.608721733093262	13.889332056045532	14.787833213806152	15.182955026626587	1.3194124698638916	6.688692092895508		0.6846084594726562
